Time,L_toes,,,L_foot,,,L_knee,,,L_hip,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
12.51,220.995,-1267.9,41.3346,308.936,-1236.74,101.57,170.732,-1236.29,462.318,419.775,-1235.71,826.623
12.52,221.015,-1268.02,41.3613,309.765,-1237.34,102.06,173.105,-1235.95,464.077,417.701,-1235.66,832.593
12.53,221.084,-1268.06,41.3268,310.53,-1237.77,102.355,175.521,-1235.46,465.76,415.556,-1235.45,838.508
12.54,221.143,-1268.11,41.3333,311.519,-1238.17,102.754,177.937,-1234.98,467.444,413.364,-1234.91,844.239
12.55,221.222,-1268.1,41.4005,312.388,-1238.57,103.237,180.394,-1234.49,469.191,411.327,-1234.22,849.728
12.56,221.32,-1268.09,41.5271,313.297,-1239.08,103.745,182.925,-1233.91,470.826,409.362,-1233.52,855.21
12.57,221.46,-1268.01,41.6725,314.329,-1239.31,104.257,185.537,-1233.38,472.69,407.432,-1232.97,860.363
12.58,221.522,-1267.98,41.7062,315.232,-1239.48,104.572,188.234,-1232.81,474.308,405.628,-1232.63,865.646
12.59,221.569,-1267.98,41.7528,316.087,-1239.91,105.228,191.044,-1232.21,476.166,404.149,-1232.43,870.705
12.6,221.612,-1267.98,41.7743,316.9,-1239.78,105.402,193.933,-1231.59,477.942,402.56,-1232.42,875.808
12.61,221.642,-1267.97,41.8837,317.76,-1239.9,105.702,196.898,-1231.12,479.792,401.005,-1232.74,881.077
12.62,221.718,-1267.89,41.9968,318.557,-1240.28,106.306,200.013,-1230.62,481.519,399.631,-1232.76,886.01
12.63,221.82,-1267.77,42.0575,319.422,-1240.2,106.375,203.129,-1230.2,483.44,398.342,-1233.02,890.946
12.64,221.96,-1267.69,42.246,320.422,-1240.45,106.862,206.319,-1229.65,485.17,396.918,-1233.19,895.721
12.65,222.143,-1267.48,42.2724,321.319,-1240.8,107.327,209.597,-1229.28,487.018,395.753,-1233.2,900.424
12.66,222.23,-1267.41,42.2989,322.435,-1241.05,107.71,212.892,-1229.18,488.917,394.332,-1233.3,905.002
12.67,222.297,-1267.37,42.2692,323.53,-1241.37,108.031,216.177,-1228.99,490.605,393.082,-1233.39,909.473
12.68,222.34,-1267.4,42.2968,324.558,-1241.7,108.375,219.424,-1228.86,492.359,391.704,-1233.45,913.875
12.69,222.303,-1267.57,42.2629,325.727,-1241.93,108.602,222.724,-1229.05,494.192,390.195,-1233.74,918.159
12.7,222.19,-1267.69,42.0616,326.583,-1242.12,108.747,226.03,-1229.02,495.801,388.732,-1233.84,922.328
12.71,222.01,-1268.01,42.0356,327.438,-1242.37,109.017,229.382,-1229.08,497.444,387.31,-1234.02,926.349
12.72,221.928,-1268.22,41.8192,328.273,-1242.17,108.853,232.822,-1229.17,499.208,385.747,-1234.42,930.288
12.73,221.914,-1268.3,41.8348,328.858,-1241.93,108.716,236.223,-1228.93,500.766,384.309,-1234.84,934.066
12.74,221.979,-1268.18,41.8971,329.352,-1241.95,108.856,239.753,-1228.82,502.4,382.972,-1235.1,937.839
12.75,222.082,-1268.14,41.9535,330.202,-1241.75,108.862,243.352,-1228.48,503.973,381.594,-1235.49,941.375
12.76,222.108,-1268.1,41.9473,331.145,-1241.81,109.075,246.804,-1228.1,505.584,380.218,-1236.09,945.086
12.77,222.102,-1268.1,41.9208,332.13,-1242.14,109.396,250.426,-1227.74,507,378.916,-1236.53,948.434
12.78,222.113,-1268.11,41.8804,333.423,-1242.17,109.541,253.902,-1227.46,508.387,377.639,-1237.03,951.834
12.79,222.071,-1268.3,41.7848,334.338,-1242.49,109.982,257.28,-1227.03,509.779,376.254,-1237.8,955.064
12.8,221.99,-1268.39,41.4665,335.38,-1242.81,110.192,260.717,-1226.82,511.357,374.916,-1238.31,958.092
12.81,221.882,-1268.64,41.3467,336.308,-1242.87,110.338,264.199,-1226.36,512.552,373.691,-1238.86,960.995
12.82,221.731,-1268.85,41.0745,337.042,-1243.22,110.647,267.726,-1225.73,513.676,372.327,-1239.53,963.746
12.83,221.584,-1269.05,40.9152,337.603,-1243.34,110.884,271.337,-1225.25,514.957,370.898,-1240.19,966.456
12.84,221.587,-1268.97,40.9437,338.029,-1242.99,110.807,274.938,-1224.46,516.229,369.651,-1240.9,969.098
12.85,221.644,-1268.77,41.0339,338.421,-1242.62,110.672,278.47,-1223.62,517.282,368.328,-1241.5,971.646
12.86,221.703,-1268.6,41.2514,338.944,-1242.4,110.848,282.098,-1222.67,518.228,366.867,-1242.26,974.309
12.87,221.76,-1268.39,41.4293,339.718,-1242.32,111.071,285.649,-1221.91,519.193,365.477,-1243.11,976.739
12.88,221.833,-1268.19,41.6803,340.783,-1241.93,111.263,289.04,-1221.23,520.105,364.136,-1243.72,978.886
12.89,221.847,-1267.98,41.7904,341.504,-1241.68,111.505,292.358,-1220.51,520.851,362.827,-1244.32,980.884
12.9,221.856,-1267.91,41.707,342.228,-1241.37,111.486,295.451,-1220.01,521.741,361.551,-1245.09,982.67
12.91,221.733,-1267.99,41.5471,342.956,-1241.37,111.611,298.553,-1219.57,522.503,360.276,-1245.77,984.116
12.92,221.477,-1268.2,41.1255,343.544,-1241.75,111.925,301.638,-1219.32,523.401,359.157,-1246.31,985.531
12.93,221.259,-1268.46,40.6133,344.039,-1241.91,111.966,304.731,-1219.19,524.07,357.966,-1246.88,986.728
12.94,221.177,-1268.54,40.5176,344.539,-1241.78,112.003,307.906,-1218.88,524.749,356.763,-1247.35,987.819
12.95,221.264,-1268.46,40.5034,345.301,-1241.31,111.813,311.061,-1218.61,525.374,355.686,-1247.77,988.72
12.96,221.335,-1268.37,40.5952,346.132,-1241.35,112.091,314.12,-1218.53,525.891,354.458,-1248.52,989.876
12.97,221.444,-1268.33,40.7217,347.16,-1240.93,111.996,317.189,-1218.52,526.448,353.309,-1249.16,990.772
12.98,221.548,-1268.26,40.8212,348.114,-1240.51,111.939,319.959,-1218.66,526.901,352.259,-1249.76,991.615
12.99,221.623,-1268.34,40.9038,349.108,-1240.6,112.115,322.461,-1218.84,527.506,351.085,-1250.56,992.432
13,221.688,-1268.42,40.8036,350.098,-1240.58,112.129,324.679,-1219.15,527.906,350.073,-1251.06,993.029
13.01,221.679,-1268.5,40.6161,350.746,-1240.76,112.19,326.634,-1219.5,528.228,349.077,-1251.65,993.467
13.02,221.648,-1268.7,40.5227,351.37,-1241.11,112.374,328.366,-1219.91,528.614,348.232,-1252.24,993.926
13.03,221.55,-1268.95,40.367,351.913,-1241.27,112.335,330.104,-1220.33,528.819,347.354,-1252.83,994.312
13.04,221.46,-1269.11,40.1749,352.384,-1241.3,112.259,331.708,-1220.97,529.102,346.579,-1253.34,994.49
13.05,221.435,-1269.19,40.0517,352.797,-1241.2,112.136,333.243,-1221.41,529.22,345.728,-1254,994.787
13.06,221.479,-1269.27,40.0236,353.209,-1241.18,112.144,334.61,-1221.68,529.362,344.988,-1254.58,994.912
13.07,221.536,-1269.23,40.1244,353.72,-1241.26,112.175,335.917,-1222.1,529.576,344.175,-1255.4,995.155
13.08,221.603,-1269.19,40.1408,354.224,-1241.21,112.243,337.01,-1222.41,529.797,343.48,-1256.09,995.191
13.09,221.729,-1269.19,40.2985,354.774,-1241.09,112.108,338.074,-1222.72,529.836,342.72,-1256.95,995.4
13.1,221.827,-1269.15,40.3769,355.156,-1241,111.961,338.893,-1223.08,529.914,342.124,-1257.55,995.424
13.11,221.953,-1269.11,40.4867,355.47,-1241.18,111.963,339.572,-1223.74,530.195,341.362,-1258.23,995.494
13.12,222.057,-1269.1,40.5922,355.763,-1241.41,111.949,340.111,-1224.23,530.296,340.812,-1258.72,995.484
13.13,222.135,-1269.1,40.6583,355.988,-1241.75,111.953,340.464,-1224.72,530.352,340.216,-1259.38,995.596
13.14,222.203,-1269.06,40.6735,356.191,-1242.04,111.994,340.718,-1225.42,530.484,339.623,-1259.98,995.674
13.15,222.225,-1269.1,40.7276,356.29,-1242.29,112.02,340.873,-1226.08,530.607,339.146,-1260.35,995.702
13.16,222.183,-1269.1,40.7038,356.407,-1242.46,111.944,340.916,-1226.59,530.476,338.564,-1260.98,995.815
13.17,222.175,-1268.99,40.6364,356.422,-1242.59,111.968,340.923,-1227.02,530.436,338.052,-1261.51,995.897
13.18,222.155,-1269.03,40.669,356.407,-1242.66,111.936,340.9,-1227.4,530.471,337.547,-1261.96,995.978
13.19,222.116,-1268.95,40.6288,356.382,-1242.7,111.895,340.842,-1227.71,530.436,336.963,-1262.59,996.037
13.2,222.083,-1268.87,40.6149,356.387,-1242.74,111.832,340.809,-1227.98,530.4,336.467,-1263.02,995.996
13.21,222.108,-1268.83,40.6535,356.377,-1242.7,111.827,340.764,-1228.28,530.469,335.971,-1263.47,995.972
13.22,222.136,-1268.71,40.5836,356.44,-1242.67,111.778,340.705,-1228.66,530.543,335.45,-1264.07,996.106
13.23,222.17,-1268.79,40.7324,356.487,-1242.79,111.822,340.587,-1229.08,530.619,334.973,-1264.46,996.084
13.24,222.178,-1268.71,40.6951,356.518,-1242.79,111.799,340.464,-1229.49,530.633,334.632,-1264.72,996.032
13.25,222.195,-1268.75,40.724,356.545,-1242.95,111.786,340.272,-1230.01,530.714,334.146,-1265.25,996.15
13.26,222.173,-1268.71,40.6699,356.562,-1243.07,111.721,340.069,-1230.49,530.712,333.713,-1265.67,996.236
13.27,222.105,-1268.75,40.6558,356.485,-1243.27,111.644,339.738,-1231.01,530.63,333.412,-1266.07,996.255
13.28,222.089,-1268.71,40.5808,356.341,-1243.39,111.504,339.443,-1231.39,530.539,333.116,-1266.41,996.169
13.29,222.072,-1268.67,40.5508,356.186,-1243.55,111.44,339.08,-1231.75,530.502,332.698,-1266.95,996.147
13.3,222.036,-1268.67,40.5983,356.005,-1243.66,111.394,338.775,-1231.96,530.474,332.297,-1267.45,996.091
13.31,222.013,-1268.63,40.5443,355.813,-1243.76,111.342,338.476,-1232.29,530.497,331.94,-1267.89,996.001
13.32,221.949,-1268.59,40.5126,355.745,-1243.8,111.323,338.284,-1232.46,530.425,331.644,-1268.25,995.967
13.33,221.87,-1268.59,40.4925,355.736,-1243.76,111.27,338.1,-1232.72,530.424,331.279,-1268.65,996.003
13.34,221.826,-1268.51,40.3845,355.778,-1243.68,111.213,337.907,-1233.05,530.448,330.937,-1269.05,996.021
13.35,221.77,-1268.55,40.3263,355.799,-1243.73,111.178,337.769,-1233.35,530.451,330.67,-1269.38,996.06
13.36,221.711,-1268.55,40.2777,355.837,-1243.81,111.129,337.627,-1233.64,530.472,330.493,-1269.61,996.121
13.37,221.646,-1268.63,40.2562,355.79,-1243.97,111.16,337.468,-1233.94,530.457,330.324,-1269.77,996.131
13.38,221.582,-1268.59,40.1335,355.754,-1244.14,111.147,337.35,-1234.2,530.436,330.173,-1270,996.192
13.39,221.574,-1268.67,40.1272,355.723,-1244.25,111.123,337.186,-1234.49,530.479,330.052,-1270.35,996.254
13.4,221.515,-1268.63,40.0296,355.692,-1244.37,111.145,337.077,-1234.68,530.473,329.928,-1270.62,996.209
13.41,221.537,-1268.68,40.0386,355.693,-1244.37,111.1,336.969,-1234.86,530.466,329.879,-1270.9,996.203
13.42,221.532,-1268.67,40.0596,355.73,-1244.38,111.01,336.859,-1235.01,530.459,329.837,-1271.11,996.181
13.43,221.526,-1268.67,40.0356,355.736,-1244.38,110.989,336.759,-1235.2,530.494,329.84,-1271.36,996.195
13.44,221.512,-1268.71,40.0461,355.715,-1244.42,110.974,336.611,-1235.38,530.506,329.906,-1271.58,996.212
13.45,221.514,-1268.8,40.0415,355.731,-1244.46,111.006,336.416,-1235.52,530.514,330.007,-1271.73,996.213
13.46,221.484,-1268.83,39.98,355.669,-1244.5,110.92,336.208,-1235.73,530.487,330.174,-1271.88,996.216
13.47,221.419,-1268.96,39.9166,355.592,-1244.58,110.889,336.004,-1235.87,530.453,330.349,-1271.97,996.238
13.48,221.337,-1269.04,39.7758,355.482,-1244.69,110.928,335.861,-1235.97,530.418,330.544,-1272.02,996.208
13.49,221.231,-1269.16,39.6887,355.415,-1244.73,110.862,335.707,-1235.96,530.351,330.723,-1272.11,996.213
13.5,221.138,-1269.25,39.4999,355.38,-1244.73,110.818,335.631,-1235.93,530.247,330.952,-1272.09,996.096
13.51,221.077,-1269.29,39.4164,355.364,-1244.69,110.832,335.542,-1235.92,530.202,331.132,-1272.11,996.049
13.52,221.026,-1269.34,39.3846,355.405,-1244.61,110.861,335.517,-1235.84,530.175,331.303,-1272.19,996.053
13.53,220.962,-1269.3,39.3067,355.446,-1244.53,110.847,335.457,-1235.8,530.148,331.49,-1272.24,996.057
13.54,220.928,-1269.38,39.3015,355.478,-1244.49,110.822,335.396,-1235.83,530.23,331.684,-1272.29,996.027
13.55,220.829,-1269.42,39.2692,355.483,-1244.53,110.849,335.322,-1235.75,530.139,331.878,-1272.27,996.087
13.56,220.835,-1269.43,39.2471,355.504,-1244.57,110.812,335.262,-1235.78,530.181,332.14,-1272.22,996.097
13.57,220.784,-1269.47,39.2163,355.54,-1244.65,110.898,335.167,-1235.82,530.182,332.443,-1272.11,996.093
13.58,220.773,-1269.46,39.2143,355.568,-1244.67,110.796,335.017,-1235.81,530.137,332.742,-1272.02,996.156
13.59,220.77,-1269.54,39.2298,355.584,-1244.63,110.742,334.838,-1235.76,530.085,333.045,-1271.94,996.167
13.6,220.739,-1269.54,39.2123,355.546,-1244.57,110.839,334.587,-1235.67,529.99,333.289,-1271.81,996.176
13.61,220.725,-1269.59,39.2648,355.458,-1244.53,110.807,334.322,-1235.57,529.954,333.543,-1271.69,996.169
13.62,220.736,-1269.62,39.2728,355.338,-1244.53,110.801,333.996,-1235.48,529.877,333.854,-1271.61,996.181
13.63,220.739,-1269.54,39.2573,355.26,-1244.44,110.737,333.656,-1235.38,529.777,334.169,-1271.46,996.088
13.64,220.775,-1269.54,39.2548,355.105,-1244.35,110.649,333.284,-1235.36,529.807,334.551,-1271.31,996.067
13.65,220.795,-1269.5,39.2684,354.971,-1244.3,110.527,332.848,-1235.18,529.72,334.916,-1271.06,995.994
13.66,220.837,-1269.5,39.3349,354.841,-1244.26,110.516,332.312,-1234.96,529.544,335.205,-1270.94,995.917
13.67,220.863,-1269.5,39.418,354.676,-1244.13,110.378,331.731,-1234.89,529.461,335.512,-1270.86,995.875
13.68,220.978,-1269.49,39.5276,354.5,-1244.08,110.272,331.079,-1234.89,529.487,335.805,-1270.75,995.781
13.69,221.022,-1269.41,39.5798,354.281,-1244.03,110.234,330.212,-1234.73,529.31,336.176,-1270.6,995.777
13.7,221.126,-1269.4,39.6863,354.052,-1244.05,110.228,329.357,-1234.63,529.137,336.57,-1270.34,995.651
13.71,221.174,-1269.37,39.8212,353.76,-1244.11,110.23,328.317,-1234.54,528.879,337.002,-1270.17,995.526
13.72,221.23,-1269.32,39.8783,353.354,-1244.24,110.204,327.146,-1234.39,528.634,337.411,-1270.14,995.454
13.73,221.235,-1269.32,39.9945,352.869,-1244.38,110.233,325.944,-1234.4,528.506,337.854,-1270,995.328
13.74,221.28,-1269.24,40.0006,352.438,-1244.27,110.047,324.582,-1234.21,528.235,338.403,-1269.69,995.068
13.75,221.289,-1269.19,40.1011,351.962,-1244.05,109.726,323.096,-1234.12,527.947,338.976,-1269.43,994.755
13.76,221.339,-1269.11,40.1312,351.448,-1243.86,109.536,321.563,-1234.03,527.556,339.494,-1269.45,994.489
13.77,221.342,-1269.03,40.1585,350.932,-1243.9,109.515,319.814,-1233.82,527.214,340.274,-1269.18,993.971
13.78,221.325,-1268.99,40.2185,350.302,-1243.98,109.465,317.941,-1233.72,526.802,340.964,-1268.89,993.591
13.79,221.348,-1268.87,40.2167,349.638,-1243.71,109.124,316.012,-1233.81,526.343,341.656,-1268.78,993.172
13.8,221.357,-1268.79,40.2691,348.922,-1243.55,108.83,314.099,-1233.8,525.899,342.559,-1268.42,992.482
13.81,221.345,-1268.75,40.2642,348.095,-1243.7,108.706,312.021,-1233.84,525.25,343.328,-1268.36,991.89
13.82,221.348,-1268.67,40.2926,347.265,-1243.74,108.425,309.947,-1233.86,524.75,344.276,-1267.95,991.162
13.83,221.348,-1268.67,40.3376,346.472,-1243.71,108.015,307.768,-1233.99,524.11,345.2,-1267.85,990.435
13.84,221.309,-1268.58,40.3875,345.65,-1244.14,107.947,305.582,-1234.23,523.588,346.251,-1267.61,989.516
13.85,221.318,-1268.5,40.396,344.909,-1244.34,107.649,303.366,-1234.62,522.935,347.196,-1267.44,988.629
13.86,221.321,-1268.43,40.3335,344.256,-1244.52,107.374,301.156,-1234.96,522.284,348.329,-1267.14,987.501
13.87,221.315,-1268.39,40.3984,343.483,-1244.79,107.147,298.874,-1235.4,521.561,349.315,-1267.15,986.559
13.88,221.355,-1268.31,40.3795,342.868,-1245.05,106.867,296.542,-1235.77,520.748,350.558,-1266.8,985.346
13.89,221.293,-1268.35,40.3884,342.351,-1245.23,106.503,294.259,-1236.29,520.178,351.66,-1266.75,984.196
13.9,221.271,-1268.3,40.3804,341.792,-1245.45,106.287,292.002,-1236.89,519.387,352.892,-1266.39,982.999
13.91,221.251,-1268.34,40.4118,341.112,-1245.78,106.106,289.755,-1237.56,518.628,354.123,-1266.34,981.679
13.92,221.234,-1268.31,40.3358,340.58,-1245.83,105.722,287.514,-1238.23,517.817,355.343,-1266.23,980.459
13.93,221.234,-1268.31,40.2458,340.11,-1245.93,105.369,285.199,-1238.73,516.863,356.751,-1265.96,979.017
13.94,221.215,-1268.35,40.2773,339.609,-1246.19,105.076,282.984,-1239.49,516.076,358.118,-1265.86,977.487
13.95,221.24,-1268.35,40.228,339.046,-1246.61,104.827,280.73,-1240.33,515.298,359.495,-1265.74,976.026
13.96,221.231,-1268.39,40.2633,338.661,-1246.88,104.468,278.427,-1241,514.246,361.015,-1265.33,974.233
13.97,221.201,-1268.43,40.1998,338.224,-1247.11,104.079,276.064,-1241.7,513.361,362.433,-1265.22,972.54
13.98,221.164,-1268.43,40.1573,337.687,-1247.25,103.619,273.68,-1242.43,512.292,363.877,-1265.09,970.742
13.99,221.147,-1268.39,40.1722,337.129,-1247.64,103.389,271.25,-1243.21,511.171,365.516,-1264.8,968.7
14,221.105,-1268.39,40.1496,336.623,-1247.85,103.081,268.763,-1244.1,510.122,367.242,-1264.56,966.661
14.01,221.08,-1268.43,40.1111,336.147,-1247.95,102.75,266.193,-1244.91,509.087,368.824,-1264.27,964.581
14.02,221.075,-1268.43,40.0871,335.697,-1248.09,102.493,263.707,-1245.63,507.926,370.454,-1264.17,962.447
14.03,221.055,-1268.47,40.0725,335.194,-1248.3,102.3,261.217,-1246.42,506.734,371.944,-1264.06,960.199
14.04,221.052,-1268.55,40.0451,334.767,-1248.42,101.96,258.836,-1247.33,505.573,373.596,-1263.76,957.797
14.05,221.032,-1268.63,39.8996,334.39,-1248.37,101.583,256.408,-1248.26,504.277,375.129,-1263.45,955.135
14.06,220.973,-1268.76,39.8568,334.013,-1248.31,101.206,253.87,-1249.27,503.107,376.63,-1263.4,952.508
14.07,220.889,-1268.96,39.7353,333.59,-1248.31,100.813,251.296,-1250.13,501.565,378.196,-1263.13,949.625
14.08,220.881,-1269.04,39.6366,333.156,-1248.45,100.547,248.705,-1250.78,500.121,379.891,-1262.82,946.409
14.09,220.861,-1269.09,39.4444,332.613,-1248.75,100.319,246.203,-1251.48,498.628,381.617,-1262.33,942.971
14.1,220.822,-1269.17,39.4162,332.219,-1248.93,100.164,243.842,-1252.19,497.337,383.304,-1262.15,939.57
14.11,220.78,-1269.17,39.3473,331.805,-1248.76,99.7899,241.605,-1252.85,496.185,384.933,-1262.07,936.446
14.12,220.785,-1269.18,39.3253,331.374,-1248.39,99.3949,239.402,-1253.31,494.754,386.539,-1261.87,933.306
14.13,220.763,-1269.14,39.2736,330.952,-1248.05,99.1823,237.031,-1253.66,493.717,388.147,-1261.55,930.251
14.14,220.687,-1269.22,39.2931,330.475,-1247.85,99.1602,234.603,-1253.71,492.465,389.768,-1261.19,927.211
14.15,220.654,-1269.14,39.1881,329.756,-1247.7,99.0489,232.128,-1253.77,491.321,391.239,-1260.97,924.075
14.16,220.578,-1269.22,39.1176,329.001,-1247.39,98.6823,229.588,-1253.68,490.245,392.741,-1260.74,920.896
14.17,220.488,-1269.22,39.0057,328.2,-1247.3,98.3076,227.025,-1253.42,488.954,394.276,-1260.33,917.394
14.18,220.41,-1269.22,38.9396,327.237,-1247.46,98.1477,224.354,-1253.03,487.585,395.842,-1259.91,913.886
14.19,220.337,-1269.23,38.9425,326.29,-1247.18,97.6889,221.794,-1252.72,486.453,397.233,-1259.69,910.331
14.2,220.255,-1269.14,38.9269,325.482,-1247.11,97.5458,219.199,-1252.45,485.366,398.587,-1259.72,906.773
14.21,220.194,-1269.02,38.9215,324.652,-1246.9,97.3593,216.594,-1252.18,484.198,400.109,-1259.33,902.905
14.22,220.116,-1268.86,38.8907,323.836,-1246.62,97.289,214.065,-1251.94,483.093,401.458,-1259.34,899.12
14.23,220.066,-1268.77,38.9798,323.142,-1246.39,97.0066,211.635,-1251.71,482.074,402.912,-1259.29,895.139
14.24,219.999,-1268.62,38.9036,322.313,-1246.16,96.7654,209.339,-1251.31,480.874,404.54,-1259.15,891.029
14.25,219.965,-1268.54,38.936,321.38,-1246.04,96.5506,207.199,-1250.9,479.816,406.115,-1258.83,886.784
14.26,219.961,-1268.38,38.8523,320.59,-1245.76,96.3523,205.147,-1250.3,478.777,407.692,-1258.89,882.72
14.27,219.966,-1268.37,38.8789,319.814,-1245.16,96.1067,203.287,-1249.59,477.789,409.204,-1258.6,878.498
14.28,219.975,-1268.3,38.839,319.089,-1244.84,96.1459,201.518,-1249.03,476.732,410.869,-1258.28,874.314
14.29,219.905,-1268.26,38.7407,318.123,-1244.62,96.3492,199.684,-1248.55,475.809,412.297,-1257.94,870.224
14.3,219.905,-1268.26,38.7394,317.247,-1243.98,96.1551,197.844,-1248.24,474.577,413.723,-1257.81,866.283
14.31,219.869,-1268.26,38.6935,316.318,-1243.49,96.0615,195.831,-1248.03,473.543,415.05,-1257.34,862.302
14.32,219.832,-1268.26,38.6512,315.158,-1243.14,96.1832,193.656,-1247.98,472.589,416.292,-1257.07,858.261
14.33,219.804,-1268.22,38.573,314.243,-1242.57,96.1276,191.413,-1248,471.316,417.478,-1256.93,853.978
14.34,219.79,-1268.27,38.5399,313.335,-1241.93,95.829,189.135,-1248.07,470.073,418.632,-1256.57,849.478
14.35,219.756,-1268.35,38.4908,312.523,-1241.66,95.6989,186.813,-1248.23,468.778,419.69,-1256.64,844.958
14.36,219.762,-1268.36,38.3372,311.739,-1241.35,95.428,184.5,-1248.39,467.283,420.864,-1256.35,840.149
14.37,219.723,-1268.44,38.3091,311.136,-1241.04,95.2523,182.196,-1248.67,465.923,421.755,-1256.22,835.438
14.38,219.703,-1268.48,38.2056,310.528,-1240.73,95.0022,179.837,-1248.99,464.509,422.844,-1255.88,830.647
14.39,219.669,-1268.6,38.2055,309.829,-1240.3,94.864,177.496,-1249.38,463.081,423.789,-1255.8,825.965
14.4,219.644,-1268.61,38.1202,309.182,-1239.98,94.8391,175.219,-1249.85,461.68,424.831,-1255.42,821.25
14.41,219.663,-1268.73,38.1008,308.581,-1239.74,94.9534,172.932,-1250.26,460.216,425.701,-1255.07,816.505
14.42,219.652,-1268.73,38.0088,308.033,-1239.36,94.8774,170.689,-1250.57,458.821,426.737,-1254.72,811.818
14.43,219.638,-1268.77,37.9743,307.513,-1239.02,94.7869,168.47,-1250.79,457.441,427.698,-1254.53,806.974
14.44,219.652,-1268.89,38.0209,307.098,-1238.76,94.6665,166.31,-1250.98,456.056,428.729,-1254.26,801.936
14.45,219.655,-1268.81,37.9144,306.539,-1238.6,94.8041,164.171,-1251.04,454.803,429.775,-1253.91,796.608
14.46,219.624,-1268.82,37.9399,305.935,-1238.38,94.756,161.987,-1251.09,453.607,431.153,-1253.59,790.953
14.47,219.638,-1268.78,37.9283,305.298,-1238.07,94.82,159.873,-1251.03,452.195,432.371,-1253.4,785.549
14.48,219.599,-1268.69,37.8902,304.813,-1237.79,94.8291,157.801,-1251.07,450.982,433.407,-1253.47,780.587
14.49,219.593,-1268.69,37.9562,304.284,-1237.4,94.8592,155.788,-1250.94,449.728,434.287,-1253.59,775.669
14.5,219.582,-1268.65,37.9941,303.804,-1236.99,94.7525,153.85,-1250.77,448.425,435.236,-1253.5,770.78
14.51,219.571,-1268.61,37.9892,303.377,-1236.69,94.8041,151.931,-1250.72,447.217,436.099,-1253.37,765.877
14.52,219.568,-1268.53,37.9926,302.902,-1236.61,95.0764,150.157,-1250.75,446.101,436.795,-1253.27,761.243
14.53,219.568,-1268.53,38.0386,302.363,-1236.46,95.3126,148.33,-1250.74,444.896,437.553,-1253.07,756.716
14.54,219.566,-1268.45,38.042,301.915,-1236.16,95.3114,146.604,-1250.55,443.673,438.247,-1252.94,752.147
14.55,219.538,-1268.4,38.0988,301.454,-1235.84,95.4038,144.93,-1250.34,442.528,438.854,-1252.85,747.511
14.56,219.558,-1268.36,38.1111,301.095,-1235.55,95.3442,143.206,-1250.36,441.301,439.49,-1252.75,742.755
14.57,219.557,-1268.36,38.2022,300.81,-1235.38,95.4054,141.733,-1250.21,440.078,440.247,-1252.6,737.883
14.58,219.577,-1268.32,38.1707,300.509,-1235.13,95.3549,140.114,-1250.12,438.986,440.993,-1252.67,733.131
14.59,219.625,-1268.32,38.1735,300.149,-1234.86,95.4303,138.642,-1250.06,437.829,441.87,-1252.75,728.552
14.6,219.639,-1268.28,38.1179,299.747,-1234.68,95.5703,137.199,-1249.98,436.757,442.698,-1252.7,724.073
14.61,219.625,-1268.32,38.0835,299.241,-1234.57,95.7311,135.578,-1250.01,435.636,443.223,-1252.61,719.971
14.62,219.642,-1268.37,38.1101,298.782,-1234.5,96.0709,134.112,-1249.89,434.601,443.634,-1252.5,716.009
14.63,219.661,-1268.32,38.0843,298.336,-1234.23,96.2791,132.377,-1249.85,433.518,443.937,-1252.31,711.768
14.64,219.65,-1268.29,38.0739,297.918,-1233.86,96.2536,130.564,-1249.73,432.245,444.13,-1252.02,707.695
14.65,219.62,-1268.32,38.0595,297.479,-1233.47,96.2222,128.834,-1249.74,431.131,444.157,-1251.88,703.446
14.66,219.625,-1268.32,38.0824,297.066,-1233.25,96.3538,126.969,-1249.82,429.884,444.14,-1251.77,699.057
14.67,219.631,-1268.33,38.1065,296.711,-1233.07,96.4963,125.088,-1249.72,428.474,444.101,-1251.68,694.793
14.68,219.608,-1268.32,38.0575,296.313,-1232.72,96.4925,123.23,-1249.59,427.101,444.06,-1251.72,690.419
14.69,219.631,-1268.33,38.1054,295.91,-1232.45,96.6826,121.566,-1249.42,425.719,443.996,-1251.68,685.762
14.7,219.645,-1268.28,38.0531,295.519,-1232.24,96.6833,119.861,-1249.38,424.393,443.917,-1251.68,681.064
14.71,219.639,-1268.29,38.0245,295.169,-1231.98,96.7617,118.195,-1249.06,423.138,443.916,-1251.65,676.671
14.72,219.656,-1268.32,38.0591,294.857,-1231.77,96.8831,116.585,-1248.61,421.888,443.877,-1251.53,672.343
14.73,219.684,-1268.36,38.135,294.499,-1231.41,97.1272,115.028,-1248.25,420.89,443.781,-1251.55,668.091
14.74,219.687,-1268.28,38.1207,294.092,-1230.94,97.2797,113.53,-1247.8,419.82,443.744,-1251.58,664.098
14.75,219.695,-1268.24,38.1323,293.742,-1230.43,97.5371,111.972,-1247.15,418.874,443.631,-1251.55,660.225
14.76,219.718,-1268.28,38.229,293.474,-1230.02,97.6644,110.436,-1246.53,417.891,443.502,-1251.56,656.272
14.77,219.743,-1268.24,38.2216,293.228,-1229.72,97.8081,109.062,-1245.8,416.989,443.365,-1251.64,652.692
